SeriesID	Titre
1	Fairy tail - la quête de 100 ans
2	Kaamelott
3	Vidéos YouTube tips IA
4	Arcane
6	La sorcière invincible tueuse de slime depuis 300 ans
7	The mandalorian
8	Stargate Atlantis
9	Joueur du grenier
10	I'll Become a Villainess Who Goes Down in History
11	Stargate SG1
12	Overlord
13	Squid game
14	The Do-Over Damsel Conquers the Dragon Emperor
15	Moon Knight
16	Uzaki-chan wa Asobitai!
17	Kinsou no Vermeil
18	Futoku no guild
19	Akame ga Kill!
20	Good Bye, Dragon Life
21	Loki
22	Tensura Nikki
23	Tensei shitara slime datta ken - OAV
24	Tensei Shitara Slime Datta Ken
25	Tomo-chan is a girl!
26	Monster Musume, Everyday Life with Monster Girls
27	Monster Musume no Oisha-san
28	Goblin Slayer
29	The Healer Who Was Banished From His Party, Is, in Fact, the Strongest
31	Sono Bisque Doll wa Koi wo Suru
32	Stargate Origins
33	World's End Harem
34	Isekai Meikyuu de Harem wo
35	Gate - Jieitai Kanochi nite, Kaku Tatakaeri
36	Fallout
37	Papa Schultz
38	Shogun
39	Isekai onsen paradise
40	Hokkaido gals are super adorable!
42	Alya Sometimes Hides Her Feelings in Russian
43	Arifureta - From Commonplace to World's Strongest
44	L'IA en local (installation et utilisation)
45	Fairy Tail
46	Kaifuku Jutsushi no Yarinaoshi
47	Pseudo Harem
48	Villainess Level 99 I May Be the Hidden Boss But I'm Not the Demon Lord
49	High school of the Dead
50	The demon sword master of excalibur academy
52	Les Simpson
53	Beheneko - The Elf-Girl's Cat is Secretly an S-Ranked Monster
54	Flower and Asura
55	I Have a Crush at Work
56	Ave Mujica - The Die Is Cast
57	Bogus Skill Fruitmaster
58	Headhunted to Another World From Salaryman to Big Four!
59	I May Be a Guild Receptionist, but I'll Solo Any Boss to Clock Out on Time
60	I'm Getting Married to a Girl I Hate in My Class
61	Taboo
62	Medaka Kuroiwa Is Impervious to My Charms
63	I'm Living With an Otaku NEET Kunoichi!
64	The Red Ranger Becomes an Adventurer in Another World
65	Even Given the Worthless "Appraiser" Class, I'm Actually the Strongest
66	I'm a Noble on the Brink of Ruin, So I Might as Well Try Mastering Magic
67	Unnamed Memory
68	I Left My A-Rank Party to Help My Former Students Reach the Dungeon Depths!
69	OKITSURA : Fell in Love with an Okinawan Girl, but I Just Wish I Know What She's Saying
70	Medalist
71	I Want to Escape from Princess Lessons
72	Ubel Blatt
73	Parasyte – Kiseijuu
74	Girlfriend, Girlfriend
75	TenPuru - No One Can Live on Loneliness
76	Welcome to Japan, Ms. Elf!
77	So I'm a Spider, So What?
78	Papy grenier
79	Frieren - beyond journey's end
80	Game of Throne
81	The Witcher
82	Les 100 petites amies qui t'aiment à en mourir
83	Kono Subarashii Sekai ni Shukufuku wo
84	High School DxD
85	Lucifer
87	Mon chat à tout faire est encore tout déprimé
88	Focus T25
89	Arrête de me chauffer, Nagatoro
90	My life as Inukai-san's Dog
91	Mieruko chan
92	mayonaka punch
93	The Girl I Like Forgot Her Glasses
94	the foolish angel dances with the devil
95	The dreaming boy is a realist
96	The Aristocrat's Otherworldly Adventure: Serving Gods Who Go Too Far
97	Shimoneta - A Boring World Where the Concept of Dirty Jokes Doesn’t Exist
98	Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai
99	Rokudenashi Majutsu Koushi to Akashic Records
100	Otomege Sekai wa Mob ni Kibishii Sekai desu
101	Berserk of gluttony
102	Butareba - the story of a man who turned in to a pig
