SeriesID;ActeursPrincipaux;SourceURL;Note
1;Aya Hirano | Satomi Satou | Tetsuya Kakihara | Yuuichi Nakamura | Sayaka Oohara | Rie Kugimiya | Yui Horie | Yūichi Nakamura | Sayaka Ohara | Satomi Satō;https://www.wikidata.org/wiki/Q124817637;Comédiens de doublage principaux, version japonaise originale Distribution vocale enrichie via Wikidata, limitée aux 10 premiers noms retenus.
2;Alexandre Astier | Lionnel Astier | Joëlle Sevilla | Thomas Cousseau | Anne Girouard | Franck Pitiot | Jean-Christophe Hembert | Simon Astier | Jacques Chambon | Nicolas Gabion;https://www.wikidata.org/wiki/Q599996;Distribution enrichie via Wikidata, limitée aux 10 premiers noms retenus.
3;;;Intitulé générique : aucune œuvre précise identifiable sans lien ou nom de chaîne
4;Hailee Steinfeld | Ella Purnell | Kevin Alejandro | Katie Leung | Jason Spisak | Toks Olagundoye | Harry Lloyd | JB Blanc;https://www.wikidata.org/wiki/Q85518571;Distribution vocale originale Distribution enrichie via Wikidata, limitée aux 10 premiers noms retenus.
6;Aoi Yuuki | Sayaka Harada | Manami Numakura | Kaede Hondo | Minami Tanaka | Sayaka Senbongi | Azumi Waki | Riho Sugiyama | Aoi Yūki | Yukari Tamura;https://www.wikidata.org/wiki/Q124798604;Comédiens de doublage principaux, version japonaise originale Distribution vocale enrichie via Wikidata, limitée aux 10 premiers noms retenus.
7;Pedro Pascal | Katee Sackhoff | Carl Weathers | Giancarlo Esposito | Emily Swallow | Omid Abtahi | Werner Herzog | Nick Nolte | Gina Carano | Ming-Na Wen;https://www.wikidata.org/wiki/Q56876444;Distribution enrichie via Wikidata, limitée aux 10 premiers noms retenus.
8;Joe Flanigan | Torri Higginson | Rachel Luttrell | David Hewlett | Jason Momoa | Paul McGillion | Amanda Tapping | Jewel Staite | Rainbow Sun Francks | Robert Picardo;https://www.wikidata.org/wiki/Q215287;Distribution enrichie via Wikidata, limitée aux 10 premiers noms retenus.
9;Frédéric Molas | Sébastien Rassiat;https://www.wikidata.org/wiki/Q54820004;Distribution enrichie via Wikidata, limitée aux 10 premiers noms retenus.
10;Kanna Nakamura | Kaito Ishikawa | Rie Takahashi | Hiroshi Yanaka | Manaka Iwami | Ryōta Ōsaka | Kōhei Amasaki | Haruki Ishiya | Kento Itō | Ayumu Murase;https://www.wikidata.org/wiki/Q121323776;Comédiens de doublage principaux, version japonaise originale Distribution vocale enrichie via Wikidata, limitée aux 10 premiers noms retenus.
11;Richard Dean Anderson | Michael Shanks | Amanda Tapping | Christopher Judge | Don S. Davis | Ben Browder | Beau Bridges | Claudia Black | Tony Amendola | Corin Nemec;https://www.wikidata.org/wiki/Q187462;Distribution enrichie via Wikidata, limitée aux 10 premiers noms retenus.
12;Satoshi Hino;https://anilist.co/anime/20832;Comédiens de doublage principaux, version japonaise originale
13;Lee Jung-jae | Lee Byung-hun | Wi Ha-joon | Park Hae-soo | Jung Ho-yeon | Oh Yeong-su | Anupam Tripathi | Kim Joo-ryoung | Wi  Ha-jun | Heo Sung-tae;https://www.wikidata.org/wiki/Q106582931;Distribution enrichie via Wikidata, limitée aux 10 premiers noms retenus.
14;Kikunosuke Toya | Shuu Uchida | Shu Uchida | Shiori Izawa | Mari Hino | Tatsumaru Tachibana | Shun'ichi Toki | Yuka Nukui | Ayumi Mano | Kaori Nazuka;https://www.wikidata.org/wiki/Q117894820;Comédiens de doublage principaux, version japonaise originale Distribution vocale enrichie via Wikidata, limitée aux 10 premiers noms retenus.
15;Oscar Isaac | May Calamawy | F. Murray Abraham | Ethan Hawke | Khalid Abdalla | Gaspard Ulliel;https://www.wikidata.org/wiki/Q84712802;Distribution enrichie via Wikidata, limitée aux 10 premiers noms retenus.
16;Naomi Oozora | Kenji Akabane | Naomi Ōzora | Ayana Taketatsu | Tomoya Takagi | Yōsuke Akimoto | Saori Hayami | Yūko Sanpei;https://www.wikidata.org/wiki/Q107985035;Comédiens de doublage principaux, version japonaise originale Distribution vocale enrichie via Wikidata, limitée aux 10 premiers noms retenus.
17;Yuuya Hirose | Maaya Uchida | Wakana Kuramochi | Yūya Hirose | Yū Okano | Kaori Ishihara | Sakura Nakamura | Kana Hanazawa | Kazuyuki Okitsu | Riho Sugiyama;https://www.wikidata.org/wiki/Q112225220;Comédiens de doublage principaux, version japonaise originale Distribution vocale enrichie via Wikidata, limitée aux 10 premiers noms retenus.
18;Karin Isobe | Katsumi Fukuhara | Ayano Shibuya | You Taichi | Yuna Kamakura | Saho Shirasu | Yō Taichi | Rumi Ōkubo | Yūyu Shōji;https://www.wikidata.org/wiki/Q111187956;Comédiens de doublage principaux, version japonaise originale Distribution vocale enrichie via Wikidata, limitée aux 10 premiers noms retenus.
