SeriesID;Réalisateurs;SourceURL;Note
1;Shinji Ishihira | Toshinori Watabe;https://anilist.co/anime/139095;
2;Alexandre Astier;https://en.wikipedia.org/wiki/Kaamelott;
3;;;Intitulé générique : aucune œuvre précise identifiable sans lien ou nom de chaîne
4;Pascal Charrue | Arnaud Delord | Bart Maunoury;https://en.wikipedia.org/wiki/Arcane_(TV_series);
6;Nobukage Kimura;https://en.wikipedia.org/wiki/I%27ve_Been_Killing_Slimes_for_300_Years_and_Maxed_Out_My_Level;
7;Dave Filoni | Rick Famuyiwa | Deborah Chow | Bryce Dallas Howard | Taika Waititi | Jon Favreau | Peyton Reed | Carl Weathers | Robert Rodriguez | Peter Ramsey | Rachel Morrison | Lee Isaac Chung;https://en.wikipedia.org/wiki/The_Mandalorian;
8;Martin Wood | Andy Mikita | William Waring | Peter DeLuise | Brad Turner;https://en.wikipedia.org/wiki/Stargate_Atlantis;Principaux réalisateurs récurrents
9;Frédéric Molas | Sébastien Rassiat;https://en.wikipedia.org/wiki/Joueur_du_Grenier;
10;Yuuji Yanase;https://anilist.co/anime/168139;
11;Peter DeLuise | Martin Wood | Andy Mikita | William Waring;https://en.wikipedia.org/wiki/Stargate_SG-1;Principaux réalisateurs récurrents
12;Naoyuki Itou;https://anilist.co/anime/20832;
13;Hwang Dong-hyuk;https://en.wikipedia.org/wiki/Squid_Game;
14;Kentarou Suzuki;https://anilist.co/anime/164299;
15;Mohamed Diab | Justin Benson | Aaron Moorhead;https://en.wikipedia.org/wiki/Moon_Knight_(miniseries);
16;Kazuya Miura;https://anilist.co/anime/115113;
17;Takashi Naoya;https://anilist.co/anime/146210;
18;Takuya Asaoka;https://anilist.co/anime/146233;
19;Tomoki Kobayashi;https://anilist.co/anime/20613;
20;Kenichi Nishida;https://anilist.co/anime/176053;
21;Kate Herron | Justin Benson | Aaron Moorhead | Dan DeLeeuw | Kasra Farahani;https://en.wikipedia.org/wiki/Loki_(TV_series);
22;Yuuji Haibara;https://www.anime-planet.com/anime/the-slime-diaries-that-time-i-got-reincarnated-as-a-slime/staff;
23;Yasuhito Kikuchi;https://en.wikipedia.org/wiki/That_Time_I_Got_Reincarnated_as_a_Slime_(TV_series);
24;Yasuhito Kikuchi;https://anilist.co/anime/101280;
25;Hitoshi Nanba;https://anilist.co/anime/151806;
26;Tatsuya Yoshihara;https://www.crunchyroll.com/news/latest/2015/4/16/monster-musume-tv-anime-initial-staff-studios-announced;
27;Yoshiaki Iwasaki;https://anilist.co/anime/113286;
28;Takaharu Ozaki;https://anilist.co/anime/101165;
29;Keisuke Oonishi;https://anilist.co/anime/174043;
31;Keisuke Shinohara;https://en.cloverworks.co.jp/works/kisekoi/;
32;Mercedes Bryce Morgan;https://en.wikipedia.org/wiki/Stargate_Origins;
33;Yuu Nobuta;https://anilist.co/anime/118465;
34;Naoyuki Tatsuwa;https://anilist.co/anime/127090;
35;Takahiko Kyougoku;https://anilist.co/anime/20994;
36;Jonathan Nolan | Frederick E. O. Toye | Clare Kilner | Wayne Yip | Daniel Gray Longino | Liz Friedlander | Stephen Williams | Lisa Joy;https://en.wikipedia.org/wiki/Fallout_(American_TV_series);
37;Gene Reynolds | Bruce Bilson;https://en.wikipedia.org/wiki/Hogan%27s_Heroes;"Titre original : Hogan's Heroes ; principaux réalisateurs récurrents"
38;Jonathan van Tulleken | Charlotte Brändström | Frederick E. O. Toye | Hiromi Kamata | Takeshi Fukunaga | Emmanuel Osei-Kuffour;https://en.wikipedia.org/wiki/Sh%C5%8Dgun_(2024_TV_series);
39;Tomonori Mine;https://anilist.co/anime/171019;
40;Mirai Minato;https://anilist.co/anime/155963;
42;Ryota Itoh;https://www.crunchyroll.com/news/latest/2024/3/24/alya-sometimes-hides-her-feelings-in-russian-tv-anime-unveils-2nd-key-visual;
43;Kinji Yoshimoto;https://anilist.co/anime/100668;
44;;;Intitulé générique : aucune œuvre précise identifiable sans lien ou nom de chaîne
45;Shinji Ishihira;https://anilist.co/anime/6702;
46;Takuya Asaoka;https://en.wikipedia.org/wiki/Redo_of_Healer;
47;Toshihiro Kikuchi;https://anilist.co/anime/163623;
48;Minoru Yamaoka;https://anilist.co/anime/163076;
49;Tetsurou Araki;https://anilist.co/anime/8074;
50;Hiroyuki Morita;https://anilist.co/anime/140501;
52;David Silverman | Mark Kirkland | Mike B. Anderson | Jim Reardon | Steven Dean Moore;https://en.wikipedia.org/wiki/List_of_directors_of_The_Simpsons;Sélection de réalisateurs récurrents de la série.
53;Tetsuo Hirakawa;https://anilist.co/anime/176158;
54;Ayumu Uwano;https://anilist.co/anime/178022;
55;Naoko Takeichi;https://anilist.co/anime/179696;
56;Koudai Kakimoto;https://anilist.co/anime/169295;
57;Ryuuichi Kimura;https://anilist.co/anime/178100;
58;Michio Fukuda;https://anilist.co/anime/179689;
59;Tsuyoshi Nagasawa;https://anilist.co/anime/167143;
60;Hiroyuki Ooshima;https://anilist.co/anime/178462;
61;Kristoffer Nyholm | Anders Engström;https://en.wikipedia.org/wiki/Taboo_(2017_TV_series);
62;Yoshiaki Okumura;https://anilist.co/anime/177552;
63;Hisashi Saitou;https://anilist.co/anime/174654;
64;Keiichirou Kawaguchi;https://anilist.co/anime/180052;
65;Kenta Oonishi;https://anilist.co/anime/178548;
66;Kenichi Ishikura;https://anilist.co/anime/176063;
67;Kazuya Miura;https://anilist.co/anime/158709;
68;Katsumi Ono;https://anilist.co/anime/180812;
69;Shin Itagaki | Shingo Tanabe;https://anilist.co/anime/166699;
70;Yasutaka Yamamoto;https://anilist.co/anime/165171;
71;Shinobu Tagashira;https://anilist.co/anime/170650;
72;Takashi Naoya;https://anilist.co/anime/175198;
73;Kenichi Shimizu;https://anilist.co/anime/20623;
74;Satoshi Kuwabara;https://anilist.co/anime/126192;
75;Kazuomi Koga;https://anilist.co/anime/160447;
76;Tooru Kitahata;https://anilist.co/anime/172439;
77;Shin Itagaki;https://anilist.co/anime/103632;
78;Frédéric Molas | Sébastien Rassiat;https://fr.wikipedia.org/wiki/Joueur_du_Grenier;Co-créateurs et réalisateurs principaux du format Joueur du Grenier.
79;Keiichirou Saitou;https://anilist.co/anime/154587;
80;Alan Taylor | Alex Graves | David Nutter | Mark Mylod | Miguel Sapochnik;https://en.wikipedia.org/wiki/Game_of_Thrones;Sélection des réalisateurs les plus récurrents.
81;Alik Sakharov | Alex Garcia Lopez | Charlotte Brändström | Marc Jobst | Sarah O'Gorman;https://en.wikipedia.org/wiki/The_Witcher_(TV_series);Sélection de réalisateurs de plusieurs saisons.
82;Hikaru Satou;https://anilist.co/anime/162694;
83;Takaomi Kanasaki;https://anilist.co/anime/21202;
84;Tetsuya Yanagisawa;https://anilist.co/anime/11617;
85;Nathan Hope | Eagle Egilsson | Louis Shaw Milito | Sherwin Shilati | Karen Gaviola;https://www.imdb.com/title/tt4052886/fullcredits/cast;Sélection des réalisateurs les plus récurrents.
87;Susumu Kudou;https://anilist.co/anime/149883;
88;;https://images.beachbody.com/coach-office/downloads/t25_tools/T25_PTG_Apr2013_FM.pdf;Programme d'entraînement : aucun réalisateur principal clairement crédité dans la source consultée.
89;Hirokazu Hanai;https://anilist.co/anime/120697;
90;Takashi Yasudo;https://anilist.co/anime/146346;
91;Yuuki Ogawa;https://anilist.co/anime/131083;
92;Shuu Honma;https://anilist.co/anime/174044;
93;Susumu Kudou;https://anilist.co/anime/160188;
94;Itsurou Kawasaki;https://anilist.co/anime/164244;
95;Kazuomi Koga;https://anilist.co/anime/157397;
96;Noriyuki Nakamura;https://anilist.co/anime/153332;
97;Youhei Suzuki;https://anilist.co/anime/20910;
98;Souichi Masui;https://anilist.co/anime/101291;
99;Hiraku Kaneko;https://anilist.co/anime/21700;
100;Kazuya Miura | Shinichi Fukumoto;https://anilist.co/anime/142074;
101;Tetsuya Yanagisawa;https://anilist.co/anime/156039;
102;Masayuki Takahashi;https://anilist.co/anime/142599;
103;Takashi Sakuma;https://anilist.co/anime/159559;
104;Yasutaka Yamamoto;https://anilist.co/anime/21033;
105;Kazuya Nomura;https://anilist.co/anime/21291;
106;Takao Abo;https://anilist.co/anime/99263;
107;Frédéric Molas | Sébastien Rassiat;https://www.ligue-ludique.fr/aventures/;Production web du Bazar du Grenier.
108;Shin Oonuma | Masafumi Tamura;https://anilist.co/anime/112301;
109;Tomohiko Itou;https://anilist.co/anime/11757;
110;Frédéric Molas | Sébastien Rassiat;https://www.youtube.com/@bazardugrenier;Production web du Bazar du Grenier.
111;Jesús Colmenar | Álex Rodrigo | Koldo Serra | Javier Quintas;https://www.imdb.com/title/tt6468322/fullcredits;
112;Tatsumi;https://anilist.co/anime/111965;
113;Kunihisa Sugishima;https://anilist.co/anime/481;
114;Manabu Okamoto;https://anilist.co/anime/108465;
115;Keiji Gotou;https://anilist.co/anime/107201;
116;Shin Oonuma;https://anilist.co/anime/6347;
117;Greg Nicotero | Ernest Dickerson | Michael E. Satrazemis | David Boyd;https://en.wikipedia.org/wiki/The_Walking_Dead_(TV_series);Sélection de réalisateurs récurrents.
118;Alain Chabat | Fabrice Joubert;https://asterix.com/films/asterix-et-obelix-le-combat-des-chefs/;
119;Tomoe Makino;https://anilist.co/anime/179965;
120;Atsushi Nigorikawa;https://anilist.co/anime/178701;
121;Tomoya Takahashi;https://anilist.co/anime/185070;
122;Toshikatsu Tokoro;https://anilist.co/anime/180829;
123;Hiroshi Ikehata;https://anilist.co/anime/180367;
124;Takehiro Miura | Yuuki Itou;https://anilist.co/anime/180516;
125;Haoling Li;https://anilist.co/anime/156092;
126;Hisashi Ishii;https://anilist.co/anime/183133;
127;Shuu Watanabe;https://anilist.co/anime/183275;
128;Joe Yoshizaki;https://anilist.co/anime/175872;
129;Haruo Sotozaki;https://anilist.co/anime/101922;
130;Hitoshi Nanba;https://anilist.co/anime/158287;
131;Yukihiro Miyamoto;https://anilist.co/anime/177120;
132;Junichi Kitamura;https://anilist.co/anime/184279;
133;Shinya Kawatsura;https://anilist.co/anime/185939;
134;Akio Kazumi;https://anilist.co/anime/179955;
135;Masayoshi Nishida;https://anilist.co/anime/177509;
136;Shinya Watada;https://anilist.co/anime/179694;
137;Kazuya Aiura;https://anilist.co/anime/143598;
138;Keitarou Motonaga;https://anilist.co/anime/183161;
139;Keitarou Motonaga;https://anilist.co/anime/15583;
140;Keitarou Motonaga;https://anilist.co/anime/17641;
141;Hiroaki Akagi;https://anilist.co/anime/153152;
142;Tianxing Wei;https://anilist.co/anime/191974;
143;Yuuzou Satou;https://anilist.co/anime/169315;
144;Kazuomi Koga;https://anilist.co/anime/113813;
145;Rupert Sanders | Alex Graves | Roxann Dawson | Jennifer Phang;https://editorial.rottentomatoes.com/article/everything-we-know-about-the-foundation-streaming-series/;
146;Kazuya Nakanishi;https://anilist.co/anime/130298;
147;Tim Burton | Gandja Monteiro | James Marshall | Paco Cabezas | Angela Robinson;https://en.wikipedia.org/wiki/Wednesday_(TV_series);Réalisateurs principaux des saisons diffusées.
148;Noah Hawley | Dana Gonzales | Ugla Hauksdóttir;https://www.company3.com/videos/alien-earth/;
149;Tadahito Matsubayashi;https://anilist.co/anime/178886;
150;Jin Tamamura;https://anilist.co/anime/156415;
151;Kiyotaka Taguchi;https://anilist.co/anime/178869;
152;Jouji Shimura;https://anilist.co/anime/185544;
153;Jun Hatori;https://anilist.co/anime/185965;
154;Tomohiro Kamitani;https://anilist.co/anime/175124;
155;Naoki Mizusawa;https://anilist.co/anime/155838;
156;Natsumi Uchinuma;https://anilist.co/anime/184591;
157;Jouji Furuta;https://anilist.co/anime/178675;
158;Takayuki Kitagawa;https://anilist.co/anime/179879;
159;Takahide Ogata;https://anilist.co/anime/137908;
160;Tetsuo Hirakawa;https://anilist.co/anime/97995;
161;Noriaki Akitaya;https://anilist.co/anime/186561;
162;Kazuya Ichikawa;https://anilist.co/anime/186003;
163;Yuuki Watanabe;https://anilist.co/anime/177175;
164;Miyuki Kuroki;https://anilist.co/anime/181444;
165;Shingo Fujii;https://anilist.co/anime/180929;
166;Toshihiro Kikuchi;https://anilist.co/anime/180794;
167;Yoshinori Odaka;https://anilist.co/anime/187663;
168;Kaoru Suzuki;https://anilist.co/anime/173523;
169;Sayaka Kobayashi;https://anilist.co/anime/186621;
170;Kousuke Kobayashi | Yasuhiro Minami;https://anilist.co/anime/186190;
171;Yuuji Yanase;https://anilist.co/anime/178433;
172;Tomoyuki Itamura;https://anilist.co/anime/141391;
173;Yuuji Tokuno;https://anilist.co/anime/180082;
174;Toshinori Fukushima;https://anilist.co/anime/173692;
180;Tomohiro Kamitani;https://anilist.co/anime/187940;
181;;;Intitulé générique ou vidéo personnelle : lien/source nécessaire pour identifier les crédits.
182;Takashi Naoya;https://anilist.co/anime/169420;
183;Kazuhiro Furuhashi;https://anilist.co/anime/140960;
184;Ato Nonaka;https://anilist.co/anime/177474;
185;Ken Takahashi;https://anilist.co/anime/188487;
186;Nobuyoshi Nagayama;https://anilist.co/anime/174188;
187;Katsushi Sakurabi;https://anilist.co/anime/184322;
188;Naokatsu Tsuda;https://anilist.co/anime/195153;
189;Ayumu Kotake;https://anilist.co/anime/185575;
190;Toshinori Fukushima;https://anilist.co/anime/173692;
192;Kaoru Yabana;https://anilist.co/anime/169969;
193;Yoshiko Okuda;https://anilist.co/anime/100500;
194;Mutsumi Takeda;https://anilist.co/anime/183291;
195;Kazuya Sakamoto;https://anilist.co/anime/181447;
196;Junji Nishimura;https://anilist.co/anime/179992;
197;Kazuomi Koga;https://anilist.co/anime/129195;
198;Nobuyoshi Habara;https://anilist.co/anime/186794;
199;Shin Oonuma | Mirai Minato;https://anilist.co/anime/112667;
200;Nobuyoshi Nagayama;https://anilist.co/anime/170113;
201;Hiroaki Sakurai;https://anilist.co/anime/174914;
202;Park So-yeon;https://www.rottentomatoes.com/tv/pyramid_game/cast-and-crew;
203;Hiroshi Tamada;https://anilist.co/anime/179885;
204;Takaomi Kanasaki;https://anilist.co/anime/179966;
205;;https://anilist.co/anime/199430;Crédits principaux non annoncés dans la source consultée.
206;Shinya Iino;https://anilist.co/anime/185407;
207;Takashi Naoya;https://anilist.co/anime/160389;
208;Yingying Zhang;https://anilist.co/anime/165530;
209;;;Intitulé générique ou vidéo personnelle : lien/source nécessaire pour identifier les crédits.
210;Makoto Tamagawa;https://anilist.co/anime/185262;
211;;;Intitulé générique ou vidéo personnelle : lien/source nécessaire pour identifier les crédits.
212;Dan Trachtenberg | Philip Sgriccia | Frederick E. O. Toye | Sarah Boyd | Nelson Cragg;https://en.wikipedia.org/wiki/The_Boys_(TV_series);Sélection de réalisateurs de plusieurs saisons.
213;Yasutaka Yamamoto | Tomonori Mine;https://anilist.co/anime/195515;
214;Masahiko Oota;https://anilist.co/anime/194742;
215;Ryouhei Takeshita;https://anilist.co/anime/177689;
216;Harry Bradbeer | Nzingha Stewart | Alethea Jones | Greg Yaitanes;https://www.rottentomatoes.com/tv/spider_noir;
217;Takashi Yamazaki;https://anilist.co/anime/182483;
218;Akira Iwanaga;https://anilist.co/anime/198374;
219;Cilla Ware | Jamie Payne;https://en.wikipedia.org/wiki/Primeval_(TV_series);"Réalisateurs principaux de la première série ; la production a ensuite employé d'autres réalisateurs."
220;;;Titre de vidéo générique : lien exact nécessaire pour identifier les crédits.
221;;;Intitulé générique ou vidéo personnelle : lien/source nécessaire pour identifier les crédits.
222;Yasushi Muroya;https://anilist.co/anime/190704;
223;Harry Bradbeer | Nzingha Stewart | Alethea Jones | Greg Yaitanes;https://www.rottentomatoes.com/tv/spider_noir;"Même série que l'édition couleur ; présentation en noir et blanc."
224;Sébastien Rassiat | Frédéric Molas | Karim Debbache;https://www.youtube.com/watch?v=0thLCQHtLP4;
225;Kiyoshi Matsuda;https://anilist.co/anime/156067;
226;Gorou Taniguchi;https://anilist.co/anime/1575;
227;Yoo In-sik;https://about.netflix.com/en/news/the-wonderfools-confirmed-for-production;
228;Yutaka Uemura;https://anilist.co/anime/21613;
229;Susumu Kudou;https://anilist.co/anime/21555;
